quote_id,num_feature_1,num_feature_2,num_feature_3,num_feature_4,num_feature_5,num_feature_6,num_feature_7,num_feature_8,num_feature_9,num_feature_10,num_feature_11,num_feature_12,geo_feature_1,geo_feature_2,geo_feature_3,geo_feature_4,geo_feature_5,geo_feature_6,geo_feature_7,geo_feature_8,geo_feature_9,cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,comp_1_price,comp_2_price,comp_3_price,comp_4_price,comp_5_price,market_min,market_median,market_max,own_price,scoring,model_version,converted
Q00000,40,1,0.285,2,2,260.0,1.4,16,15,66.9,16,9.4,-2.3967,0.4018,2.3751,1.1987,-0.333,2.6881,-2.1509,2.0266,1.2877,region_H,special,tariff_6,domestic,electric,electric,DOHC,gen_4,M,15745.45,12763.78,12436.01,17675.36,14568.05,12436.01,14568.05,17675.36,14345.45,0.6,1,0
Q00001,61,4,0.103,4,4,129.0,4.0,19,20,64.9,4,8.7,0.7974,-0.0353,-1.8007,-0.3628,-0.3118,-0.3733,-0.3736,1.2336,-0.149,region_B,standard,tariff_2,domestic,diesel,hydraulic,SOHC,gen_2,F,10443.88,8279.26,9680.84,18738.5,8164.84,8164.84,9680.84,18738.5,9658.7,0.6,2,0
Q00002,47,9,0.053,7,4,155.0,4.9,16,16,83.5,8,13.7,-1.874,-0.3483,-1.2436,1.4261,1.9301,0.7072,0.5605,0.26,-1.8292,region_H,commercial,tariff_3,domestic,diesel,manual,DOHC,gen_3,M,6643.21,15820.51,10545.87,18281.81,11008.56,6643.21,11008.56,18281.81,11675.93,0.4,3,0
Q00003,42,5,0.203,4,4,89.0,1.6,15,20,80.2,4,8.7,-1.4154,0.8316,0.2168,0.0127,0.2201,0.8663,-0.3624,0.1097,-0.4233,region_C,commercial,tariff_2,domestic,electric,hydraulic,SOHC,gen_4,F,11127.21,7849.37,9351.75,13166.26,10797.62,7849.37,10797.62,13166.26,9869.93,0.6,1,0
Q00004,42,7,0.254,5,4,183.0,2.6,14,14,89.7,4,9.5,-0.5143,1.1623,1.7694,0.6484,1.036,-0.4974,1.2366,0.2994,0.0581,region_C,standard,tariff_3,imported,diesel,hydraulic,SOHC,gen_1,M,8444.24,11647.66,9586.51,9455.49,10020.58,8444.24,9586.51,11647.66,9243.02,0.8,1,0
Q00005,31,2,0.012,5,4,114.0,1.2,17,15,95.7,16,9.1,2.1701,1.0842,0.2022,0.5577,-0.1178,0.819,-0.0469,0.4943,0.0397,region_A,commercial,tariff_1,domestic,flex,electric,DOHC,gen_1,M,12523.62,14208.72,16060.45,19684.49,13432.04,12523.62,14208.72,19684.49,12504.13,1.0,3,0
Q00006,24,11,0.135,2,4,154.0,1.1,16,18,69.9,4,8.0,1.6774,-1.1855,0.7021,-0.8243,-1.8739,0.871,1.3572,-0.4132,0.556,region_F,standard,tariff_6,domestic,diesel,hydraulic,SOHC,gen_1,F,9274.29,10302.99,7731.29,11228.01,14479.82,7731.29,10302.99,14479.82,9136.43,0.8,2,0
Q00007,48,5,0.268,3,4,132.0,5.5,15,14,96.9,4,9.9,0.7065,1.3049,-0.3376,0.3672,0.6723,-0.7131,1.1519,-0.8441,0.4744,region_C,commercial,tariff_2,imported,electric,manual,SOHC,gen_4,F,8907.22,11559.49,8922.0,15727.7,8572.12,8572.12,8922.0,15727.7,9149.88,0.4,3,0
Q00008,65,1,0.225,4,4,321.0,3.2,18,19,80.7,16,13.8,0.3565,-0.3579,-0.5106,1.9283,-0.6582,-0.7013,1.0513,1.0322,-0.1388,region_D,commercial,tariff_3,domestic,gasoline,manual,DOHC,gen_1,M,13864.26,17367.72,13061.67,17389.52,25040.34,13061.67,17367.72,25040.34,18934.99,0.2,3,0
Q00009,23,11,0.298,0,4,328.0,2.6,13,16,70.4,4,10.1,-1.8623,-0.755,0.0822,0.2516,-0.3356,0.0453,-1.2035,0.022,-1.193,region_E,commercial,tariff_6,domestic,diesel,electric,DOHC,gen_4,M,5362.88,6236.54,6804.75,9637.02,6980.62,5362.88,6804.75,9637.02,6487.77,0.6,2,0
Q00010,63,14,0.159,7,4,151.0,2.2,13,16,93.8,4,11.0,0.1568,-0.1693,-0.6583,0.9013,-1.053,-0.1155,0.0171,0.9487,-0.4411,region_F,commercial,tariff_3,domestic,gasoline,hydraulic,SOHC,gen_4,F,8635.01,9846.06,10837.27,9638.3,10014.15,8635.01,9846.06,10837.27,9614.23,0.8,3,0
Q00011,62,0,0.198,6,4,152.0,5.4,20,16,61.4,4,12.5,-0.5492,0.8311,0.7243,0.6933,0.0728,1.3931,1.2228,1.6462,-0.6228,region_H,commercial,tariff_5,imported,diesel,electric,SOHC,gen_4,M,11317.53,12288.98,12467.42,15362.22,18437.58,11317.53,12467.42,18437.58,11599.32,0.8,2,0
Q00012,34,6,0.091,3,4,128.0,2.1,18,19,82.4,4,11.3,-0.8167,0.5405,-1.6063,0.307,1.0652,0.7027,0.2723,0.5206,-0.2851,region_E,special,tariff_1,imported,gasoline,hydraulic,DOHC,gen_3,M,4938.95,9728.68,7015.97,9624.43,10219.84,4938.95,9624.43,10219.84,8799.35,0.6,3,0
Q00013,52,13,0.284,4,4,231.0,4.3,17,13,88.9,4,12.5,0.1548,-0.2554,0.89,0.1865,0.9327,-0.0704,0.5544,0.3585,0.6912,region_B,special,tariff_2,imported,electric,manual,DOHC,gen_3,F,5218.67,7726.81,7808.26,6825.07,8409.93,5218.67,7726.81,8409.93,8439.09,0.0,3,0
Q00014,28,11,0.11,3,4,130.0,2.3,13,19,71.2,2,12.0,-0.4711,0.8377,0.0393,0.5473,1.5862,0.6061,-1.3879,3.2002,0.4041,region_F,standard,tariff_5,imported,diesel,manual,DOHC,gen_3,F,6867.48,8691.27,8990.37,18282.3,9400.16,6867.48,8990.37,18282.3,9145.98,0.4,1,0
Q00015,58,13,0.222,7,4,125.0,1.3,17,19,94.5,8,11.7,0.8693,0.1399,-0.2147,0.7633,1.728,-2.0467,1.9188,0.207,0.824,region_A,standard,tariff_2,domestic,flex,hydraulic,DOHC,gen_3,M,5777.22,7681.93,7495.45,7263.85,6778.42,5777.22,7263.85,7681.93,7621.01,0.2,2,0
Q00016,55,6,0.121,8,4,220.0,4.1,16,19,69.6,8,11.9,-1.936,-0.573,-1.643,-1.3522,-2.0459,-0.6153,-0.7914,-1.0905,-0.3841,region_G,standard,tariff_3,domestic,diesel,electric,SOHC,gen_4,F,12331.33,10883.63,13027.14,12798.38,12523.98,10883.63,12523.98,13027.14,13671.85,0.0,1,0
