quote_id,competitor_id,num_feature_1,num_feature_2,num_feature_3,num_feature_4,num_feature_5,num_feature_6,num_feature_7,num_feature_8,num_feature_9,num_feature_10,num_feature_11,num_feature_12,geo_feature_1,geo_feature_2,geo_feature_3,geo_feature_4,geo_feature_5,geo_feature_6,geo_feature_7,geo_feature_8,geo_feature_9,cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,target_price
Q00000,comp_1,40,1,0.285,2,2,260.0,1.4,16,15,66.9,16,9.4,-2.3967,0.4018,2.3751,1.1987,-0.333,2.6881,-2.1509,2.0266,1.2877,region_H,special,tariff_6,domestic,electric,electric,DOHC,gen_4,M,15745.45
Q00000,comp_2,40,1,0.285,2,2,260.0,1.4,16,15,66.9,16,9.4,-2.3967,0.4018,2.3751,1.1987,-0.333,2.6881,-2.1509,2.0266,1.2877,region_H,special,tariff_6,domestic,electric,electric,DOHC,gen_4,M,12763.78
Q00000,comp_3,40,1,0.285,2,2,260.0,1.4,16,15,66.9,16,9.4,-2.3967,0.4018,2.3751,1.1987,-0.333,2.6881,-2.1509,2.0266,1.2877,region_H,special,tariff_6,domestic,electric,electric,DOHC,gen_4,M,12436.01
Q00000,comp_4,40,1,0.285,2,2,260.0,1.4,16,15,66.9,16,9.4,-2.3967,0.4018,2.3751,1.1987,-0.333,2.6881,-2.1509,2.0266,1.2877,region_H,special,tariff_6,domestic,electric,electric,DOHC,gen_4,M,17675.36
Q00000,comp_5,40,1,0.285,2,2,260.0,1.4,16,15,66.9,16,9.4,-2.3967,0.4018,2.3751,1.1987,-0.333,2.6881,-2.1509,2.0266,1.2877,region_H,special,tariff_6,domestic,electric,electric,DOHC,gen_4,M,14568.05
Q00001,comp_1,61,4,0.103,4,4,129.0,4.0,19,20,64.9,4,8.7,0.7974,-0.0353,-1.8007,-0.3628,-0.3118,-0.3733,-0.3736,1.2336,-0.149,region_B,standard,tariff_2,domestic,diesel,hydraulic,SOHC,gen_2,F,10443.88
Q00001,comp_2,61,4,0.103,4,4,129.0,4.0,19,20,64.9,4,8.7,0.7974,-0.0353,-1.8007,-0.3628,-0.3118,-0.3733,-0.3736,1.2336,-0.149,region_B,standard,tariff_2,domestic,diesel,hydraulic,SOHC,gen_2,F,8279.26
Q00001,comp_3,61,4,0.103,4,4,129.0,4.0,19,20,64.9,4,8.7,0.7974,-0.0353,-1.8007,-0.3628,-0.3118,-0.3733,-0.3736,1.2336,-0.149,region_B,standard,tariff_2,domestic,diesel,hydraulic,SOHC,gen_2,F,9680.84
Q00001,comp_4,61,4,0.103,4,4,129.0,4.0,19,20,64.9,4,8.7,0.7974,-0.0353,-1.8007,-0.3628,-0.3118,-0.3733,-0.3736,1.2336,-0.149,region_B,standard,tariff_2,domestic,diesel,hydraulic,SOHC,gen_2,F,18738.5
Q00001,comp_5,61,4,0.103,4,4,129.0,4.0,19,20,64.9,4,8.7,0.7974,-0.0353,-1.8007,-0.3628,-0.3118,-0.3733,-0.3736,1.2336,-0.149,region_B,standard,tariff_2,domestic,diesel,hydraulic,SOHC,gen_2,F,8164.84
Q00002,comp_1,47,9,0.053,7,4,155.0,4.9,16,16,83.5,8,13.7,-1.874,-0.3483,-1.2436,1.4261,1.9301,0.7072,0.5605,0.26,-1.8292,region_H,commercial,tariff_3,domestic,diesel,manual,DOHC,gen_3,M,6643.21
Q00002,comp_2,47,9,0.053,7,4,155.0,4.9,16,16,83.5,8,13.7,-1.874,-0.3483,-1.2436,1.4261,1.9301,0.7072,0.5605,0.26,-1.8292,region_H,commercial,tariff_3,domestic,diesel,manual,DOHC,gen_3,M,15820.51
Q00002,comp_3,47,9,0.053,7,4,155.0,4.9,16,16,83.5,8,13.7,-1.874,-0.3483,-1.2436,1.4261,1.9301,0.7072,0.5605,0.26,-1.8292,region_H,commercial,tariff_3,domestic,diesel,manual,DOHC,gen_3,M,10545.87
Q00002,comp_4,47,9,0.053,7,4,155.0,4.9,16,16,83.5,8,13.7,-1.874,-0.3483,-1.2436,1.4261,1.9301,0.7072,0.5605,0.26,-1.8292,region_H,commercial,tariff_3,domestic,diesel,manual,DOHC,gen_3,M,18281.81
Q00002,comp_5,47,9,0.053,7,4,155.0,4.9,16,16,83.5,8,13.7,-1.874,-0.3483,-1.2436,1.4261,1.9301,0.7072,0.5605,0.26,-1.8292,region_H,commercial,tariff_3,domestic,diesel,manual,DOHC,gen_3,M,11008.56
Q00003,comp_1,42,5,0.203,4,4,89.0,1.6,15,20,80.2,4,8.7,-1.4154,0.8316,0.2168,0.0127,0.2201,0.8663,-0.3624,0.1097,-0.4233,region_C,commercial,tariff_2,domestic,electric,hydraulic,SOHC,gen_4,F,11127.21
Q00003,comp_2,42,5,0.203,4,4,89.0,1.6,15,20,80.2,4,8.7,-1.4154,0.8316,0.2168,0.0127,0.2201,0.8663,-0.3624,0.1097,-0.4233,region_C,commercial,tariff_2,domestic,electric,hydraulic,SOHC,gen_4,F,7849.37
Q00003,comp_3,42,5,0.203,4,4,89.0,1.6,15,20,80.2,4,8.7,-1.4154,0.8316,0.2168,0.0127,0.2201,0.8663,-0.3624,0.1097,-0.4233,region_C,commercial,tariff_2,domestic,electric,hydraulic,SOHC,gen_4,F,9351.75
Q00003,comp_4,42,5,0.203,4,4,89.0,1.6,15,20,80.2,4,8.7,-1.4154,0.8316,0.2168,0.0127,0.2201,0.8663,-0.3624,0.1097,-0.4233,region_C,commercial,tariff_2,domestic,electric,hydraulic,SOHC,gen_4,F,13166.26
Q00003,comp_5,42,5,0.203,4,4,89.0,1.6,15,20,80.2,4,8.7,-1.4154,0.8316,0.2168,0.0127,0.2201,0.8663,-0.3624,0.1097,-0.4233,region_C,commercial,tariff_2,domestic,electric,hydraulic,SOHC,gen_4,F,10797.62
Q00004,comp_1,42,7,0.254,5,4,183.0,2.6,14,14,89.7,4,9.5,-0.5143,1.1623,1.7694,0.6484,1.036,-0.4974,1.2366,0.2994,0.0581,region_C,standard,tariff_3,imported,diesel,hydraulic,SOHC,gen_1,M,8444.24
Q00004,comp_2,42,7,0.254,5,4,183.0,2.6,14,14,89.7,4,9.5,-0.5143,1.1623,1.7694,0.6484,1.036,-0.4974,1.2366,0.2994,0.0581,region_C,standard,tariff_3,imported,diesel,hydraulic,SOHC,gen_1,M,11647.66
Q00004,comp_3,42,7,0.254,5,4,183.0,2.6,14,14,89.7,4,9.5,-0.5143,1.1623,1.7694,0.6484,1.036,-0.4974,1.2366,0.2994,0.0581,region_C,standard,tariff_3,imported,diesel,hydraulic,SOHC,gen_1,M,9586.51
Q00004,comp_4,42,7,0.254,5,4,183.0,2.6,14,14,89.7,4,9.5,-0.5143,1.1623,1.7694,0.6484,1.036,-0.4974,1.2366,0.2994,0.0581,region_C,standard,tariff_3,imported,diesel,hydraulic,SOHC,gen_1,M,9455.49
